timestamp,open,high,low,close,volume,current_range,average_range,cwr,baseline
1749427200,105670.796875,110660.796875,105252.6015625,110219.8984375,104403.4140625,5408.1953125,5408.1953125,1.0,1.0
1749513600,110219.8984375,110351.0,108279.203125,110227.5,73253.03125,2071.796875,3739.99609375,0.5539569622712256,1.0
1749600000,110227.5,110375.5,108006.6015625,108611.1015625,74641.2578125,2368.8984375,3282.9635416666665,0.7215731784512532,1.0
1749686400,108611.1015625,108782.5,105579.796875,105600.8984375,95883.5625,3202.703125,3262.8984375,0.9815515825414042,1.0
1749772800,105600.8984375,106140.0,102626.8984375,106023.1015625,132649.75,3513.1015625,3312.9390625,1.060418406805513,1.0
1749859200,106023.1015625,106168.796875,104250.0,105356.703125,41393.55859375,1918.796875,3080.58203125,0.6228682942169258,1.0
1749945600,105356.703125,106080.0,104433.0,105547.796875,39425.3671875,1647.0,2875.784598214286,0.5727132696317736,1.0
1750032000,105547.796875,108955.5,104921.203125,106749.296875,93111.6484375,4034.296875,3020.5986328125,1.3355951469936402,1.0
1750118400,106749.296875,107724.8984375,103303.3984375,104512.703125,119378.0234375,4421.5,3176.254340277778,1.3920484716640544,1.0
1750204800,104512.703125,105500.0,103422.296875,104847.296875,84981.90625,2077.703125,3066.39921875,0.6775709804175347,1.0
1750291200,104847.296875,105191.8984375,103864.0,104604.203125,44669.23828125,1327.8984375,2908.353693181818,0.4565807936679266,1.0
1750377600,104604.203125,106499.8984375,102260.0,103243.8984375,99708.2578125,4239.8984375,3019.3157552083335,1.4042580442890598,1.0
1750464000,103243.8984375,103949.8984375,100800.0,102083.8984375,63941.58203125,3149.8984375,3029.360576923077,1.0397898690222453,1.0
1750550400,102083.8984375,103347.0,98125.0,100904.296875,163064.953125,5222.0,3185.9776785714284,1.6390573088828138,1.0
1750636800,100904.296875,106024.796875,99581.0,105283.5,159898.3125,6443.796875,3403.165625,1.8934714277974642,1.0
1750723200,105283.5,106269.8984375,104567.0,106048.5,73028.421875,1702.8984375,3296.89892578125,0.5165152089387977,1.0
1750809600,106048.5,108090.0,105750.0,107264.0,80775.0703125,2340.0,3240.6107536764707,0.7220861059432305,1.0
1750896000,107264.0,108239.6015625,106457.703125,106905.296875,60839.640625,1781.8984375,3159.5711805555557,0.5639684424475235,1.0
1750982400,106905.296875,107738.1015625,106280.0,106999.6015625,61754.1171875,1458.1015625,3070.020148026316,0.4749485319949442,1.0
1751068800,106999.6015625,107499.8984375,106761.0,107241.0,16398.134765625,738.8984375,2953.4640625,0.250180270307589,1.0
1751155200,107241.0,108507.0,107113.796875,108314.796875,42872.78515625,1393.203125,2752.714453125,0.5061197406139877,1.0
1751241600,108314.796875,108766.3984375,106677.0,107081.203125,62330.171875,2089.3984375,2753.59453125,0.7587894346055057,1.0
1751328000,107081.203125,107484.796875,105180.296875,105634.796875,69734.1953125,2304.5,2750.374609375,0.8378858618548979,1.0
1751414400,105634.796875,109740.8984375,105058.6015625,108803.0,93107.7421875,4682.296875,2824.354296875,1.6578291470658324,1.0
1751500800,108803.0,110485.703125,108455.1015625,109540.0,76294.25,2030.6015625,2750.229296875,0.7383390049721706,1.0
1751587200,109540.0,109725.296875,107220.296875,107947.3984375,63635.97265625,2505.0,2779.539453125,0.901228438108213,1.0
1751673600,107947.3984375,108429.203125,107685.8984375,108144.3984375,17786.216796875,743.3046875,2734.3546875,0.2718391622337766,1.0
1751760000,108144.3984375,109685.0,107762.6015625,109160.5,39472.2890625,1922.3984375,2628.759765625,0.7312948344075636,1.0
1751846400,109160.5,109681.3984375,107449.6015625,108200.0,54985.4765625,2231.796875,2519.274609375,0.885888686646066,1.0
1751932800,108200.0,109188.0,107369.703125,108487.0,34614.4765625,1818.296875,2506.304296875,0.7254892701046532,1.0
